no.,latitude(N),longitude(E),time_windows,weight(tons),collection_time(h)
1,53.99014,1.403095,"[8.7,14.0]",1.82,0.82
2,53.577935,3.094481,"[8.7,17.2]",3.02,1.44
3,53.769927,0.616396,"[9.0,13.5]",1.28,0.77
4,54.89872,5.001392,"[8.1,13.3]",1.24,0.8
5,52.862221,1.90676,"[8.9,15.9]",4.24,1.8
6,54.71522,4.703175,"[8.2,17.3]",3.1,1.18
7,52.778561,1.531136,"[8.1,15.3]",4.81,1.8
8,54.192327,1.445285,"[8.9,15.2]",1.14,0.6
9,53.486326,-0.5,"[8.1,13.7]",1.72,0.77
10,55.273762,4.239148,"[8.6,20.5]",2.95,1.39
11,54.082982,4.865402,"[9.0,17.7]",2.98,1.44
12,54.345425,2.304779,"[8.4,14.3]",0.46,0.5
13,53.969861,5.062653,"[8.5,13.9]",4.09,1.77
14,54.15109,4.427995,"[8.6,18.9]",1.66,0.66
15,54.232175,0.657678,"[8.9,16.7]",5.02,1.28
16,53.08912,1.145498,"[8.1,11.7]",4.87,1.8
17,52.791379,5.358945,"[8.2,18.3]",2.07,1.05
18,53.322802,3.935623,"[8.9,16.9]",2.07,0.91
19,53.979951,4.682726,"[8.9,15.3]",3.7,1.09
20,53.708136,5.663118,"[8.1,12.9]",4.41,1.65
